OptimizedThreshold,UsedThreshold,Accuracy,F1_Clean,F1_Infected,Sensitivity,Specificity,ConfusionMatrix_1,ConfusionMatrix_2,ConfusionMatrix_3,ConfusionMatrix_4,NTrees,MinLeafSize,ScreeningThreshold,NumPredictors,MaxNumSplits
0.63,0.3,0.504950495049505,0.336364304076386,0.588235294117647,0.786163522012579,0.275064267352185,107,68,282,250,50,1,0.3,4,20
0.77,0.3,0.504950495049505,0.326616689500177,0.592074592074592,0.79874213836478,0.264781491002571,103,64,286,254,50,1,0.3,4,50
0.68,0.3,0.547383309759547,0.444444444444444,0.618138424821002,0.814465408805031,0.329048843187661,128,59,261,259,50,1,0.3,7,10
0.6,0.3,0.541725601131542,0.429746197219106,0.616113744075829,0.817610062893082,0.316195372750643,123,58,266,260,50,1,0.3,7,20
0.81,0.3,0.524752475247525,0.374834578117157,0.607476635514019,0.817610062893082,0.285347043701799,111,58,278,260,50,1,0.3,7,50
0.59,0.4,0.674681753889675,0.661764705882353,0.686648501362398,0.792452830188679,0.57840616966581,225,66,164,252,50,1,0.4,3,10
0.69,0.4,0.53041018387553,0.420941369905915,0.599033816425121,0.779874213836478,0.326478149100257,127,70,262,248,50,1,0.4,3,20
0.69,0.4,0.517680339462518,0.380790898649018,0.592592592592593,0.779874213836478,0.303341902313625,118,70,271,248,50,1,0.4,3,50
0.56,0.4,0.536067892503536,0.438962002327693,0.601941747572816,0.779874213836478,0.336760925449871,131,70,258,248,50,1,0.4,4,10
0.5,0.4,0.671852899575672,0.660818713450292,0.682191780821918,0.783018867924528,0.580976863753213,226,69,163,249,50,1,0.4,4,20
0.58,0.4,0.52050919377652,0.413759334067817,0.584049079754601,0.748427672955975,0.334190231362468,130,80,259,238,50,1,0.4,4,50
0.7,0.4,0.55021216407355,0.462837837837838,0.613138686131387,0.792452830188679,0.352185089974293,137,66,252,252,50,1,0.4,7,10
0.84,0.4,0.543140028288543,0.458961474036851,0.604651162790698,0.776729559748428,0.352185089974293,137,71,252,247,50,1,0.4,7,20
0.88,0.4,0.544554455445545,0.5,0.581818181818182,0.70440251572327,0.413881748071979,161,94,228,224,50,1,0.4,7,50
0.71,0.5,0.581329561527581,0.540372670807453,0.615584415584416,0.745283018867924,0.447300771208226,174,81,215,237,50,1,0.5,3,10
0.7,0.5,0.619519094766619,0.600297176820208,0.63697705802969,0.742138364779874,0.519280205655527,202,82,187,236,50,1,0.5,3,20
0.76,0.5,0.674681753889675,0.67966573816156,0.669540229885057,0.732704402515723,0.627249357326478,244,85,145,233,50,1,0.5,3,50
0.65,0.5,0.55021216407355,0.473509933774834,0.607407407407407,0.773584905660377,0.367609254498715,143,72,246,246,50,1,0.5,4,10
0.76,0.5,0.56011315417256,0.495948136142626,0.609786700125471,0.764150943396226,0.393316195372751,153,75,236,243,50,1,0.5,4,20
0.78,0.5,0.591230551626591,0.576866764275256,0.604651162790698,0.694968553459119,0.506426735218509,197,97,192,221,50,1,0.5,4,50
0.63,0.5,0.594059405940594,0.545166402535658,0.633461047254151,0.779874213836478,0.442159383033419,172,70,217,248,50,1,0.5,7,10
0.61,0.5,0.582743988684583,0.533965244865719,0.622279129321383,0.764150943396226,0.434447300771208,169,75,220,243,50,1,0.5,7,20
0.53,0.5,0.657708628005658,0.640949554896142,0.672972972972973,0.783018867924528,0.555269922879177,216,69,173,249,50,1,0.5,7,50
0.58,0.2,0.496463932107496,0.247182123788808,0.607929515418502,0.867924528301887,0.19280205655527,75,42,314,276,50,5,0.2,3,10
0.57,0.2,0.493635077793494,0.267241219877568,0.595936794582393,0.830188679245283,0.218508997429306,85,54,304,264,50,5,0.2,3,20
0.55,0.2,0.497878359264498,0.273136246786632,0.600674915635546,0.839622641509434,0.218508997429306,85,51,304,267,50,5,0.2,3,50
0.53,0.2,0.516265912305516,0.338369682394892,0.606896551724138,0.830188679245283,0.259640102827764,101,54,288,264,50,5,0.2,4,10
0.74,0.2,0.495049504950495,0.274050472500815,0.595696489241223,0.827044025157233,0.223650385604113,87,55,302,263,50,5,0.2,4,20
0.66,0.2,0.499292786421499,0.284789760368167,0.598639455782313,0.830188679245283,0.22879177377892,89,54,300,264,50,5,0.2,4,50
0.7,0.2,0.52050919377652,0.35195730695389,0.608996539792388,0.830188679245283,0.267352185089974,104,54,285,264,50,5,0.2,7,10
0.81,0.2,0.519094766619519,0.347420300296367,0.608294930875576,0.830188679245283,0.264781491002571,103,54,286,264,50,5,0.2,7,20
0.91,0.2,0.516265912305516,0.343050233625972,0.605080831408776,0.823899371069182,0.264781491002571,103,56,286,262,50,5,0.2,7,50
